basic syntax :
Basic Syntax	/ˈbeɪsɪk/ /ˈsɪntæks/
consider	/kənˈsɪdər/ can nhac
defined	/dɪˈfaɪnd/ xac dinh
invoking	/ɪnˈvoʊkɪŋ/ keu goi
briefly	/ˈbrifli/ tom tac 
instance	/ˈɪnstəns/ thi du, the hien
state	/steɪt/ trang thai
behavior	/bɪˈheɪvjər/ hanh vi
barking	/ˈbɑrkɪŋ/ hay sua
blueprint	/ˈbluˌprɪnt/ ban ve thiet ke
basically	/ˈbeɪsɪkli/ ve co ban adv
contain == include	/kənˈteɪn/ == /ɪnˈklud/ bao gom
Sensitivity	/ˌsɛnsɪˈtɪvɪti/ su nhay cam
sensitive	/ˈsɛnsətɪv/ nhay cam adj
identifier	/aɪˈdɛntəˌfaɪər/ dinh danh
several	/ˈsɛvrəl/ 1 vai
Program	/ˈproʊˌɡræm/ chuong trinh n,v
append	== add /əˈpɛnd/ noi them 
compile	/kəmˈpaɪl/ bien dich v
Assume	/əˈsum/ cho rang
processing	/ˈprɑsɛsɪŋ/ xu li n
mandatory	/ˈmændəˌtɔri/ bat buoc n,adj
components	/kəmˈpoʊnənts/ cac thanh phan
legal	/ˈliɡəl/ hop phap adj
possible	/ˈpɑsəbəl/ kha thi adj
categories == kind == type == genre /ˈkætəˌɡɔriz/ the loai
protected	/prəˈtɛktəd/ dc bao ve
abstract	/ˈæbstrækt/ truu tuong n,v,adj
multiple	/ˈmʌltəpəl/ nhieu n,adj
itself	/ɪtˈsɛlf/ chinh no
heap	/hip/ dong n,v
construct == build /kənˈstrʌkt/ xay dung v
upcoming	/ˈʌpˌkʌmɪŋ/ sap toi adj
chapters	/ˈʧæptərz/ chuong
restrict	== limit /riˈstrɪkt/ han che v
enumerated	/ɪˈnuməˌreɪtɪd/ liet ke v
reduce	!= increase /rəˈdus/ giam bot
produce	/ˈproʊdus/ san xuat n,v
reserved	/rɪˈzɜrvd/ kin dao
constant	/ˈkɑnstənt/ hang so n,adj
supports	/səˈpɔrts/ ho tro n,v
single-line	/ˈsɪŋɡəl/-/laɪn/ mot dong
multi-line	/ˈmʌlti/-/laɪn/ nhieu dong
ignored	/ɪɡˈnɔrd/ phot lo
possibly	/ˈpɑsəbli/ co kha nang adv
Inheritance	/ɪnˈhɛrətəns/ di san n
derived	/dəˈraɪvd/ chuyen hoa v
concept	/ˈkɑnsɛpt/ y tuong ns
scenario	/sɪˈnɛrioʊ/ kich ban
subclass != superclass	subclass != /ˌsupərˈklæs/
contract	/ˈkɑnˌtrækt/ hop dong n,v
deriving	/dəˈraɪvɪŋ/ chuyen hoa

constructors :
constructor	/kənˈstrʌktər/ ng xd n
initializes	/ɪˈnɪʃəˌlaɪzɪz/ khoi tao v
syntactically	syntactically theo cu phap adv
explicit	/ɪkˈsplɪsət/ rõ ràng adv
Typically	/ˈtɪpɪkli/ tieu bieu
initial	/ɪˈnɪʃəl/ chu ki, ban dau n,v,adj
perform	/pərˈfɔrm/ trinh dien v
start-up	/ˈstɑrˌtʌp/ khoi nghiep
procedures	/prəˈsiʤərz/ thu tuc
formed	/fɔrmd/ hinh thanh
classes	/ˈklæsəz/ cac lop
whether	/ˈwɛðər/ không biết có đúng chăng
automatically	/ˌɔtəˈmætɪkli/ tu dong hoa adv
default	/dɪˈfɔlt/ mac dinh n
argument	/ˈɑrɡjəmənt/ li le n
specifies	/ˈspɛsəˌfaɪz/ chi dinh v
accept	/ækˈsɛpt/ chan nhan v
parameters	== element /pəˈræmətərz/ thanh phan
initialized	/ɪˈnɪʃəˌlaɪzd/ khoi tao v
initialize	/ɪˈnɪʃəˌlaɪz/ khoi tao v
most often	/moʊst/ /ˈɔfən/ thiong xuyen nhat
declare	/dɪˈklɛr/ khai bao 
parentheses	/pəˈrɛnθəˌsiz/ dau ngoac don

Variable Types:
manipulate	/məˈnɪpjəˌleɪt/ van dung v
specific	/spəˈsɪfɪk/ chi dinh v
determines	== defined /dəˈtɜrmənz/ xd v
layout	/ˈleɪˌaʊt/ cach trinh bay n,v
range	== scope /reɪnʤ/ pham vi
within	/wɪˈðɪn/ o trong
stored	/stɔrd/ luu tru adj
set	/sɛt/ dat vao v
apply	/əˈplaɪ/ ap dung v
operations	/ˌɑpəˈreɪʃənz/ su hoat dong n
various	/ˈvɛriəs/ nhieu
Instance	/ˈɪnstəns/ the hien n
entered	/ˈɛntərd/ nhap vao v
destroyed	/dɪˈstrɔɪd/ bi pha huy adj
exits	/ˈɛɡzɪts/ loi ra n,v
modifiers /ˈmɑdəˌfaɪərz/ su sua doi n
visible	/ˈvɪzəbəl/ de thay adj
within	/wɪˈðɪn/ ben trong
internally	/ɪnˈtɜrnəli/ noi bo adv
defined	== determined /dɪˈfaɪnd/ xd
scope == range /skoʊp/ pham vi
produce	/ˈproʊdus/ san xuat v
initializing	/ɪˈnɪʃəˌlaɪzɪŋ/ khoi tao v
compilation	/ˌkɑmpəˈleɪʃən/ su bien soan n
allocated	/ˈæləˌkeɪtɪd/ chi dinh v
